asset_type	slug	category	cta_excerpt
pack	ai-vending-coolers-for-apartments	ai-vending-coolers	Get the apartment AI cooler pack — Want the apartment AI cooler evaluation pack (property-fit checklist, operator shortlist, planogram template)?
pack	ai-vending-coolers-for-hotels	ai-vending-coolers	Get the hotel AI cooler pack — Want the hotel AI cooler evaluation pack (revenue model, PMS integration checklist, brand-finish design guide)?
pack	campus-vending-security-measures	ai-vending-coolers	Get the campus security pack — Want the campus vending security pack (physical + AI cooler + cyber framework, operator + campus police MoU template, cybersecurity baseline checklist, student communica
pack	career-center-and-gym-vending-on-campus	ai-vending-coolers	Get the campus placement pack — Want the campus placement planogram pack (career center + gym, with budget-subsidization templates)?
pack	case-study-ai-vending-in-warehouse-facility	ai-vending-coolers	Get the warehouse AI cooler pack — Want the warehouse AI cooler deployment pack (site survey, planogram template, SLA framework)?
pack	case-study-vending-in-university	ai-vending-coolers	Get the university deployment pack — Want the university AI cooler deployment pack (placement fit + integration + onboarding + STARS reporting)?
pack	cost-of-vending-for-colleges	ai-vending-coolers	Get the campus cost pack — Want the college + university vending cost pack (contract structures, commission negotiation, AI cooler vs combo evaluation, campus card SDK framework, operator selection ch
pack	future-university-vending-tech	ai-vending-coolers	Get the university vending pack — Want the university vending technology roadmap (5-year plan, RFP template, integration checklist, operator evaluation framework)?
pack	healthy-vending-for-college-students	ai-vending-coolers	Get the campus AI cooler pack — Want the campus AI cooler design pack (planogram framework, RFP language, payment integration scope)?
pack	laundry-and-snack-vending-in-dorms	ai-vending-coolers	Get the dorm vending pack — Want the dorm vending program design pack (per-placement planograms, sizing model, campus-card integration checklist)?
pack	social-media-campus-vending-promo	ai-vending-coolers	Get the campus campaign pack — Want the campus social campaign template pack (calendar, creative briefs, sponsor pitch deck) as a downloadable bundle?
pack	vending-contracts-for-universities	ai-vending-coolers	Get the university contract pack — Want the university vending contract template (master agreement, per-placement addenda, governance, AI cooler scope)?
pack	vending-data-campus-systems-integration	ai-vending-coolers	Get the campus integration pack — Want the campus vending data integration pack (architecture diagram, system-by-system integration spec, FERPA + IRB framework, BI dashboard templates, operator data A
pack	vending-in-university-libraries-and-study-areas	ai-vending-coolers	Get the library AI vending pack — Want the university library AI vending pack (placement criteria, equipment spec, finals-week SOP, campus card integration checklist, library administration approval f
pack	vending-machines-and-student-food-insecurity	ai-vending-coolers	Get the food-security vending pack — Want the campus food-security vending implementation pack (model selection guide, planogram, FERPA checklist, operator coordination workflow)?
pack	vending-machines-for-student-fundraising	ai-vending-coolers	Get the student fundraising pack — Want the AI cooler student fundraising pack (commission framework, Smart Snacks checklist, placement matrix, operator selection)?
pack	vending-student-mental-wellness	ai-vending-coolers	Get the wellness vending pack — Want the campus wellness vending implementation pack (planogram, signage, health services partnership template)?
pack	best-office-coffee-machines-for-small-teams	blog-category	Get the coffee program pack — Want the small-team coffee evaluation guide (cup-count worksheet, equipment shortlist, OCS RFP template)?
pack	coffee-machines-with-milk-frothers-for-offices	blog-category	Get the milk-frother pack — Want the office milk-frother machine pack (category match by office size, equipment shortlist, OCS contract scope, water filtration spec, alternative milk support)?
pack	custom-coffee-service-packages-for-corporate-offices	blog-category	Get the custom OCS framework — Want the custom OCS package framework — seven dimensions, matrix-mapped bundles, and reference-check guidance?
pack	office-coffee-machine-maintenance	blog-category	Get the coffee maintenance pack — Want the office coffee maintenance pack (daily checklist, OCS contract scope, descaling cadence, water filtration spec, quarterly PM documentation)?
pack	smart-office-coffee-machine-features	blog-category	Get the smart machine pack — Want the smart office coffee machine pack (six-feature framework, equipment shortlist, mobile app onboarding, network connectivity spec, OCS integration)?
pack	carbon-footprint-of-vending-machines	eco-friendly-vending	Get the carbon framework — Want the vending carbon footprint analysis framework (electricity + refrigerant + vehicle + packaging) and reduction stack?
pack	eco-friendly-vending-in-offices	eco-friendly-vending	Get the office sustainability framework — Want the office vending sustainability framework (ENERGY STAR + low-GWP + telemetry + packaging + recycling + ESG reporting)?
pack	eco-friendly-vending-in-schools	eco-friendly-vending	Get the eco-school framework — Want the eco-friendly school vending framework (ENERGY STAR + low-GWP + telemetry + packaging + recycling + hydration)?
pack	sustainable-packaging-in-vending	eco-friendly-vending	Get the sustainable packaging framework — Want the sustainable packaging vending framework (seven shifts, supplier procurement criteria, corporate sustainability mandate alignment)?
pack	healthy-snack-options-for-vending-machines	healthy-vending-service	Get the healthy snack pack — Want the healthy snack vending pack (threshold framework, SKU catalog by category, planogram templates, measurement framework)?
pack	healthy-vending-machines-for-schools	healthy-vending-service	Get the school vending pack — Want the school healthy vending pack (Smart Snacks compliance framework, SKU catalog, audit documentation template, operator selection checklist)?
pack	low-sugar-vending-machine-products	healthy-vending-service	Get the low-sugar pack — Want the low-sugar vending pack (threshold framework, SKU catalog, planogram templates, measurement framework)?
pack	non-gmo-vending-products	healthy-vending-service	Get the Non-GMO pack — Want the Non-GMO vending pack (certification framework comparison, certified SKU catalog by category, planogram templates, measurement framework)?
pack	plant-based-protein-vending-choices	healthy-vending-service	Get the plant-based vending pack — Want the plant-based protein vending planogram framework (six categories + demographic matching + velocity tracking)?
pack	breakroom-snack-and-beverage-packages	office-vending-services	Get the package toolkit — Want the office snack and beverage package toolkit (survey template, archetype selector, planogram framework, ESG sourcing checklist, quarterly review template)?
pack	refrigerated-vending-machines-for-offices	office-vending-services	Get the refrigerated equipment pack — Want the refrigerated office vending equipment pack (glass-front + combo + fresh food + AI cooler specifications + ENERGY STAR + R-290 + HACCP framework)?
pack	seasonal-promotional-vending	office-vending-services	Get the seasonal vending pack — Want the seasonal + promotional vending pack (annual calendar + five mechanics + ERG + DEI + wellness integration + brand partnership + member-app reward)?
pack	vending-for-shared-workspaces	office-vending-services	Get the coworking vending pack — Want the shared workspace vending pack (operator-neutral + tenant-management integration + multi-language + dietary inclusivity + hospitality-grade aesthetic)?
