slug	focus	category	op	host	mix
24-7-micro-market-vending	HOST	micro-market-services	0	7	1
24-7-vending-for-24-hour-gyms	HOST	vending-for-gyms	2	2	4
24-7-vending-for-college-campuses	HOST	ai-vending-coolers	0	2	6
24-7-vending-services-for-hotel-guests	HOST	vending-for-hotels	0	8	0
24-7-vending-solutions-for-hospitals	HOST	vending-for-healthcare	0	7	1
24-7-vending-solutions-for-shift-workers	HOST	vending-for-warehouses	1	7	0
accessibility-hotel-vending-machines	HOST	vending-for-hotels	4	4	0
accessibility-in-public-vending	HOST	vending-for-public-buildings	0	7	1
accessibility-standards-vending-public	HOST	vending-for-public-buildings	0	4	4
accessible-airport-vending	HOST	vending-for-airports	2	6	0
accessible-campus-vending-features	HOST	ai-vending-coolers	1	4	3
ada-vending-standards-factories	HOST	vending-for-manufacturing-companies	0	7	1
addressing-student-food-insecurity-vending	HOST	ai-vending-coolers	0	0	8
advanced-payment-systems-government-vending	HOST	vending-for-public-buildings	0	6	2
after-hours-public-building-vending	HOST	vending-for-public-buildings	3	5	0
after-hours-retail-vending	HOST	vending-for-retail-locations	0	7	1
after-hours-vending-for-construction-crews	HOST	vending-for-construction-sites	0	6	2
after-hours-vending-in-dealerships	HOST	vending-for-dealerships	1	6	1
after-hours-vending-in-logistics-centers	HOST	vending-for-logistics-hubs	0	7	1
ai-cooler-security-and-loss-prevention	HOST	ai-vending-coolers	0	4	4
ai-coolers-loyalty-programs	HOST	ai-vending-coolers	0	8	0
ai-coolers-vs-traditional-vending-machines	HOST	ai-vending-coolers	1	5	2
ai-powered-vending-machines	HOST	vending-technology	0	6	2
ai-vending-coolers	MIXED		0	0	0
ai-vending-coolers-for-apartments	HOST	ai-vending-coolers	0	8	0
ai-vending-coolers-for-hotel-guests	OPERATOR	vending-for-hotels	7	1	0
ai-vending-coolers-for-hotels	OPERATOR	ai-vending-coolers	7	1	0
ai-vending-coolers-in-apartments	HOST	vending-for-apartments	2	5	1
ai-vending-coolers-in-schools	HOST	ai-vending-coolers	0	7	1
ai-vending-coolers-vs-micro-markets	HOST	ai-vending-coolers	0	7	1
ai-vending-data-analytics-product-trends	HOST	ai-vending-coolers	2	6	0
ai-vending-in-employee-breakrooms	HOST	ai-vending-coolers	0	7	1
ai-vending-solutions-for-offices	HOST	ai-vending-coolers	2	5	1
ai-vending-university-innovation-labs	HOST	ai-vending-coolers	0	2	6
airport-specialty-vending	HOST	specialty-vending-machines	0	4	4
airport-vending-contracts-and-permits	OPERATOR	vending-for-airports	7	1	0
airport-vending-design-evolution	HOST	vending-for-airports	0	8	0
airport-vending-dietary-needs	HOST	vending-for-airports	3	5	0
airport-vending-maintenance-uptime	HOST	vending-for-airports	3	5	0
airport-vending-revenue-potential	HOST	vending-for-airports	0	3	5
airport-vending-security-and-monitoring	HOST	vending-for-airports	2	4	2
airport-vending-supply-chain	HOST	vending-for-airports	1	7	0
allergen-friendly-vending-solutions	HOST	healthy-vending-service	0	4	4
